02 Aragón;Negocios y otros motivos profesionales;2019M05;.
02 Aragón;Negocios y otros motivos profesionales;2019M04;.
02 Aragón;Negocios y otros motivos profesionales;2019M03;.
02 Aragón;Negocios y otros motivos profesionales;2019M02;.
02 Aragón;Negocios y otros motivos profesionales;2019M01;.
02 Aragón;Ocio, recreo y vacaciones;2022M02;16642
02 Aragón;Ocio, recreo y vacaciones;2022M01;15476
02 Aragón;Ocio, recreo y vacaciones;2021M12;.
02 Aragón;Ocio, recreo y vacaciones;2021M11;.
02 Aragón;Ocio, recreo y vacaciones;2021M10;.
02 Aragón;Ocio, recreo y vacaciones;2021M09;.
02 Aragón;Ocio, recreo y vacaciones;2021M08;.
02 Aragón;Ocio, recreo y vacaciones;2021M07;.
02 Aragón;Ocio, recreo y vacaciones;2021M06;.
02 Aragón;Ocio, recreo y vacaciones;2021M05;.
02 Aragón;Ocio, recreo y vacaciones;2021M04;.
02 Aragón;Ocio, recreo y vacaciones;2021M03;.
02 Aragón;Ocio, recreo y vacaciones;2021M02;.
02 Aragón;Ocio, recreo y vacaciones;2021M01;.
02 Aragón;Ocio, recreo y vacaciones;2020M12;.
02 Aragón;Ocio, recreo y vacaciones;2020M11;.
02 Aragón;Ocio, recreo y vacaciones;2020M10;.
02 Aragón;Ocio, recreo y vacaciones;2020M09;.
02 Aragón;Ocio, recreo y vacaciones;2020M08;.
02 Aragón;Ocio, recreo y vacaciones;2020M07;.
02 Aragón;Ocio, recreo y vacaciones;2020M06;.
02 Aragón;Ocio, recreo y vacaciones;2020M05;
02 Aragón;Ocio, recreo y vacaciones;2020M04;
02 Aragón;Ocio, recreo y vacaciones;2020M03;.
02 Aragón;Ocio, recreo y vacaciones;2020M02;.
02 Aragón;Ocio, recreo y vacaciones;2020M01;.
02 Aragón;Ocio, recreo y vacaciones;2019M12;.
02 Aragón;Ocio, recreo y vacaciones;2019M11;.
02 Aragón;Ocio, recreo y vacaciones;2019M10;.
02 Aragón;Ocio, recreo y vacaciones;2019M09;.
02 Aragón;Ocio, recreo y vacaciones;2019M08;.
02 Aragón;Ocio, recreo y vacaciones;2019M07;.
02 Aragón;Ocio, recreo y vacaciones;2019M06;.
02 Aragón;Ocio, recreo y vacaciones;2019M05;.
02 Aragón;Ocio, recreo y vacaciones;2019M04;.
02 Aragón;Ocio, recreo y vacaciones;2019M03;12138
02 Aragón;Ocio, recreo y vacaciones;2019M02;.
02 Aragón;Ocio, recreo y vacaciones;2019M01;.
02 Aragón;Otros motivos;2022M02;.
02 Aragón;Otros motivos;2022M01;9924
02 Aragón;Otros motivos;2021M12;.
02 Aragón;Otros motivos;2021M11;5015
02 Aragón;Otros motivos;2021M10;.
02 Aragón;Otros motivos;2021M09;.
02 Aragón;Otros motivos;2021M08;.
02 Aragón;Otros motivos;2021M07;.
02 Aragón;Otros motivos;2021M06;.
02 Aragón;Otros motivos;2021M05;.
02 Aragón;Otros motivos;2021M04;.
02 Aragón;Otros motivos;2021M03;.
02 Aragón;Otros motivos;2021M02;.
02 Aragón;Otros motivos;2021M01;.
02 Aragón;Otros motivos;2020M12;.
02 Aragón;Otros motivos;2020M11;.
02 Aragón;Otros motivos;2020M10;.
02 Aragón;Otros motivos;2020M09;.
02 Aragón;Otros motivos;2020M08;.
02 Aragón;Otros motivos;2020M07;.
02 Aragón;Otros motivos;2020M06;.
02 Aragón;Otros motivos;2020M05;
02 Aragón;Otros motivos;2020M04;
02 Aragón;Otros motivos;2020M03;.
02 Aragón;Otros motivos;2020M02;.
02 Aragón;Otros motivos;2020M01;.
02 Aragón;Otros motivos;2019M12;.
02 Aragón;Otros motivos;2019M11;13070
02 Aragón;Otros motivos;2019M10;.
02 Aragón;Otros motivos;2019M09;.
02 Aragón;Otros motivos;2019M08;.
02 Aragón;Otros motivos;2019M07;.
02 Aragón;Otros motivos;2019M06;.
02 Aragón;Otros motivos;2019M05;.
02 Aragón;Otros motivos;2019M04;.
02 Aragón;Otros motivos;2019M03;.
02 Aragón;Otros motivos;2019M02;.
02 Aragón;Otros motivos;2019M01;.
03 Asturias, Principado de;Total de motivos del viaje;2022M02;.
03 Asturias, Principado de;Total de motivos del viaje;2022M01;7649
03 Asturias, Principado de;Total de motivos del viaje;2021M12;.
03 Asturias, Principado de;Total de motivos del viaje;2021M11;.
03 Asturias, Principado de;Total de motivos del viaje;2021M10;8664
03 Asturias, Principado de;Total de motivos del viaje;2021M09;8632
03 Asturias, Principado de;Total de motivos del viaje;2021M08;11257
03 Asturias, Principado de;Total de motivos del viaje;2021M07;8825
03 Asturias, Principado de;Total de motivos del viaje;2021M06;2877
03 Asturias, Principado de;Total de motivos del viaje;2021M05;.
03 Asturias, Principado de;Total de motivos del viaje;2021M04;.
03 Asturias, Principado de;Total de motivos del viaje;2021M03;.
03 Asturias, Principado de;Total de motivos del viaje;2021M02;.
03 Asturias, Principado de;Total de motivos del viaje;2021M01;1262
03 Asturias, Principado de;Total de motivos del viaje;2020M12;.
03 Asturias, Principado de;Total de motivos del viaje;2020M11;.
03 Asturias, Principado de;Total de motivos del viaje;2020M10;.
03 Asturias, Principado de;Total de motivos del viaje;2020M09;2621
03 Asturias, Principado de;Total de motivos del viaje;2020M08;6865
03 Asturias, Principado de;Total de motivos del viaje;2020M07;.
03 Asturias, Principado de;Total de motivos del viaje;2020M06;.
03 Asturias, Principado de;Total de motivos del viaje;2020M05;
03 Asturias, Principado de;Total de motivos del viaje;2020M04;
03 Asturias, Principado de;Total de motivos del viaje;2020M03;.
03 Asturias, Principado de;Total de motivos del viaje;2020M02;.
03 Asturias, Principado de;Total de motivos del viaje;2020M01;.
03 Asturias, Principado de;Total de motivos del viaje;2019M12;.
03 Asturias, Principado de;Total de motivos del viaje;2019M11;.
03 Asturias, Principado de;Total de motivos del viaje;2019M10;14554
03 Asturias, Principado de;Total de motivos del viaje;2019M09;20304
03 Asturias, Principado de;Total de motivos del viaje;2019M08;20311
03 Asturias, Principado de;Total de motivos del viaje;2019M07;22947
03 Asturias, Principado de;Total de motivos del viaje;2019M06;14454
03 Asturias, Principado de;Total de motivos del viaje;2019M05;.
03 Asturias, Principado de;Total de motivos del viaje;2019M04;.
03 Asturias, Principado de;Total de motivos del viaje;2019M03;.
03 Asturias, Principado de;Total de motivos del viaje;2019M02;.
03 Asturias, Principado de;Total de motivos del viaje;2019M01;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2022M02;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2022M01;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M12;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M11;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M10;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M09;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M08;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M07;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M06;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M05;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M04;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M03;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M02;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2021M01;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2020M12;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2020M11;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2020M10;.
03 Asturias, Principado de;Negocios y otros motivos profesionales;2020M09;.
